start_hour;start_minute;cycle_min;repetitions;filename;phase
09;00;30;7;prepare_for_the_next_mission.m4a;Prepare for mission
09;04;30;7;start_mission.m4a;Mobility task
09;14;30;7;end_mobility_start_dexterity.aiff;Dexterity task
09;24;30;7;end_dexterity_start_victimid.aiff;Victim identification
09;26;30;7;end_of_mission_please_clear_the_arena.m4a;Clear arena
14;00;30;9;prepare_for_the_next_mission.m4a;Prepare for mission
14;04;30;9;start_mission.m4a;Mobility task
14;14;30;9;end_mobility_start_dexterity.aiff;Dexterity task
14;24;30;9;end_dexterity_start_victimid.aiff;Victim identification
14;26;30;9;end_of_mission_please_clear_the_arena.m4a;Clear arena
18;00;0;1;gong.mp3;Teamleader Meeting
